1,Juan,21,68122513X,juan@gmail.com,123789525,calle Nilox
2,Marta,34,47283915T,marta34@gmail.com,456789321,calle Sol
3,Pablo,28,39284716L,pablo28@hotmail.com,789654123,avenida Luna
4,Laura,25,81234567A,laura25@yahoo.com,321654987,calle Río
5,Andrés,30,56274819C,andres30@gmail.com,654321789,avenida Mar
6,Sofía,22,98237154P,sofia22@gmail.com,987456321,calle Arboleda
7,Carlos,27,12384756M,carlos27@hotmail.com,159753486,avenida Norte
8,Elena,29,84756321K,elena29@yahoo.com,357951486,calle Oeste
9,David,35,69273148R,david35@gmail.com,753159846,avenida Sur
10,Ana,24,12345678Z,ana24@hotmail.com,951357462,calle Este
11,Marcos,32,98234567F,marcos32@gmail.com,147258369,avenida Central
12,Clara,26,57483921D,clara26@yahoo.com,258369147,calle Laguna
13,Sergio,33,84729163H,sergio33@gmail.com,369147258,avenida Aurora
14,Irene,23,49283765J,irene23@hotmail.com,654789321,calle Roca
15,Luis,31,83749265S,luis31@gmail.com,987321654,avenida Horizonte
16,Cristina,28,67283941E,cristina28@yahoo.com,321789654,calle Loma
17,Álvaro,29,74829316V,alvaro29@gmail.com,159486753,avenida Estrella
18,Teresa,27,98347265G,teresa27@hotmail.com,753486159,calle Monte
19,Javier,34,12384792W,javier34@yahoo.com,951846753,avenida Valle
20,Lucía,22,34827195Q,lucia22@gmail.com,357684921,calle Aurora
